wkt_geom,id,amenity,name,source,student:count,municipality,idp:camp_site,idp:status_20150427
"Polygon ((85.3104000999999954 27.67481300000000033, 85.31132309999999563 27.67442259999999976, 85.31187230000000454 27.67548259999999871, 85.31189159999999561 27.67551990000000117, 85.31287969999999632 27.67558909999999983, 85.31295939999999689 27.67562420000000145, 85.31300720000000126 27.67569980000000029, 85.3130330999999984 27.67578770000000077, 85.31302800000000275 27.67581769999999963, 85.3122113000000013 27.67609750000000091, 85.31215699999999913 27.67611709999999903, 85.31147930000000201 27.67641820000000052, 85.31071129999999414 27.67540169999999833, 85.3104000999999954 27.67481300000000033))",52768161,school,St. Mary's School,OpenDRI survey,2039,,,
"Polygon ((85.31096510000000421 27.6816771000000017, 85.3107988000000006 27.68141109999999827, 85.31108310000000472 27.68131610000000009, 85.31114209999999787 27.68162480000000158, 85.31228729999999416 27.68140740000000122, 85.31266399999999805 27.68260910000000052, 85.31217440000000352 27.68281770000000108, 85.31183110000000624 27.6828651999999984, 85.31167120000000637 27.68289569999999955, 85.31160950000000298 27.68273419999999874, 85.31152910000000134 27.68258930000000007, 85.31141100000000677 27.68248720000000063, 85.31134400000000539 27.6823422999999984, 85.31126890000000174 27.68219510000000128, 85.31120719999999835 27.68207160000000044, 85.31107660000000692 27.68185869999999937, 85.31096510000000421 27.6816771000000017))",53017598,school,The British School,,,,,
"Polygon ((85.32082809999999995 27.69372919999999993, 85.32075629999999933 27.69360620000000139, 85.32054840000000695 27.69369470000000177, 85.32047649999999805 27.69348580000000126, 85.3205004999999943 27.69341149999999985, 85.32060250000000678 27.69335059999999871, 85.32092369999999448 27.69321779999999933, 85.32125829999999667 27.69308150000000168, 85.32115620000000433 27.69289990000000046, 85.32145130000000677 27.69276989999999827, 85.32155330000000504 27.6929514999999995, 85.32171560000000454 27.69289720000000088, 85.32180160000000058 27.6930644000000008, 85.32150959999999884 27.69317769999999967, 85.32157750000000362 27.69330390000000008, 85.32141079999999533 27.69337549999999837, 85.32145529999999667 27.69346110000000039, 85.32082809999999995 27.69372919999999993))",84035026,college,St. Xavier's College,OpenDRI survey,2800,,,
"Polygon ((85.29475610000000074 27.68498609999999971, 85.29445110000000341 27.68451849999999936, 85.29503259999999898 27.68331849999999861, 85.2950950999999975 27.68334219999999846, 85.2957777999999962 27.68328070000000096, 85.29580699999999638 27.68346139999999878, 85.29584339999999543 27.68360720000000086, 85.29598359999999957 27.68396720000000144, 85.29608410000000163 27.68420970000000025, 85.29609820000000298 27.68428799999999868, 85.29581450000000586 27.68447400000000158, 85.29550960000000259 27.68474690000000038, 85.2954529000000008 27.68492570000000086, 85.29475610000000074 27.68498609999999971))",84035028,university,TU Controller of Examinations,,,,,
"Polygon ((85.31638030000000583 27.70699450000000041, 85.31593250000000239 27.70703269999999918, 85.31591790000000231 27.70689880000000116, 85.31595729999999378 27.70689540000000051, 85.3159526000000028 27.70685200000000137, 85.31636100000000056 27.70681709999999853, 85.31638030000000583 27.70699450000000041))",112117057,police,Metropolitan Police Commissioner’s Office,,,,,
"Polygon ((85.31336960000000147 27.70413659999999823, 85.31299789999999916 27.70413359999999869, 85.31299350000000459 27.70414829999999995, 85.31299909999999898 27.70422519999999977, 85.3128968000000043 27.70422890000000038, 85.31289870000000519 27.70438000000000045, 85.31298780000000193 27.70437910000000059, 85.31300099999999986 27.70437899999999942, 85.31300199999999734 27.70446169999999952, 85.31339610000000562 27.70446300000000051, 85.31339939999999444 27.70442129999999992, 85.31356189999999629 27.70442429999999945, 85.31360170000000664 27.70431400000000011, 85.31355920000000026 27.70421410000000151, 85.31338490000000263 27.70422149999999917, 85.31336960000000147 27.70413659999999823))",112117062,hospital,National Trauma Center,,,,,
"Polygon ((85.31773090000000082 27.70934510000000017, 85.31774029999999698 27.70941789999999827, 85.31735630000000015 27.70945700000000045, 85.31735869999999977 27.7094750999999988, 85.31736970000000042 27.70950059999999837, 85.31745420000000024 27.70962679999999878, 85.31765110000000618 27.70968870000000095, 85.31765849999999318 27.70943910000000088, 85.31774160000000506 27.70943060000000102, 85.31773090000000082 27.70979150000000146, 85.31739829999999358 27.70968699999999885, 85.31729919999999368 27.7095394000000006, 85.31727720000000659 27.70948879999999903, 85.31726419999999678 27.70939260000000104, 85.31773090000000082 27.70934510000000017))",112654802,school,TeenDhara Pathshala,,,,,
"Polygon ((85.3562588000000062 27.72192799999999835, 85.35603589999999485 27.72125300000000081, 85.35549810000000548 27.72098300000000037, 85.35549989999999809 27.72125060000000119, 85.35607310000000325 27.72196969999999894, 85.3562588000000062 27.72192799999999835))",120391531,parking,,,,,,
"Polygon ((85.35053249999999991 27.70562950000000058, 85.35049720000000661 27.70556450000000126, 85.35048059999999737 27.70557159999999897, 85.35042590000000473 27.70547090000000168, 85.35037760000000162 27.70538200000000018, 85.35052930000000515 27.70531730000000081, 85.35056000000000154 27.70537380000000027, 85.3506455999999929 27.70533730000000006, 85.35103890000000604 27.70516969999999901, 85.35113280000000202 27.70534250000000043, 85.3510037000000068 27.70539760000000129, 85.35101740000000348 27.7054228000000009, 85.35073319999999342 27.70554399999999973, 85.35053249999999991 27.70562950000000058))",120435385,hospital,Tilganga Institute of Opthalmology,OpenDRI survey,,,,
"Polygon ((85.33453339999999798 27.66312830000000034, 85.33510660000000314 27.66324120000000164, 85.33525219999999933 27.66325660000000042, 85.3354613999999998 27.66342290000000048, 85.33556790000000092 27.6634644999999999, 85.33565910000000088 27.66360230000000087, 85.33560799999999347 27.66363189999999861, 85.33570799999999679 27.66360410000000059, 85.33560070000000053 27.6632138999999988, 85.33555219999999508 27.66291939999999983, 85.33553820000000201 27.66282209999999964, 85.33552039999999295 27.66271019999999936, 85.33545069999999555 27.66276249999999948, 85.33530050000000244 27.66276249999999948, 85.33504840000000513 27.66267699999999863, 85.33475850000000662 27.66277690000000078, 85.33475869999999475 27.66274350000000126, 85.33431799999999612 27.66249480000000105, 85.33426230000000601 27.66251959999999954, 85.33419309999999314 27.66255019999999831, 85.33415010000000223 27.66256549999999947, 85.33425019999999961 27.66265149999999906, 85.33454330000000709 27.66290860000000151, 85.33450120000000538 27.66292879999999954, 85.33453339999999798 27.66312830000000034))",123889550,hospital,KIST hospital,OpenDRI survey,,,,
