wkt_geom,id,amenity,shelter_type,building,name,operator,pati,addr:city,addr:street,addr:tole,building:levels,ward
"Polygon ((85.30597160000000656 27.67498649999999927, 85.30605900000000474 27.67494269999999901, 85.30601299999999299 27.6748706999999996, 85.3059255999999948 27.67491439999999869, 85.30597160000000656 27.67498649999999927))",179091834,shelter,,,,,,,,,,
"Polygon ((85.3060104999999993 27.70405549999999906, 85.30613239999999564 27.70404029999999906, 85.30614830000000381 27.7041404, 85.30602639999999326 27.70415559999999999, 85.3060104999999993 27.70405549999999906))",183559497,shelter,,yes,Laxmi Narayan Sattal,,,,,,,
"Polygon ((85.30571670000000495 27.70372860000000159, 85.30587300000000539 27.7037116999999995, 85.30586110000000133 27.70362499999999883, 85.30570480000000089 27.70364190000000093, 85.30571670000000495 27.70372860000000159))",183559499,shelter,,yes,Simha Sattal,,,,,,,
"Polygon ((85.34247799999999984 27.73313630000000174, 85.34250989999999604 27.73318180000000055, 85.34255360000000223 27.73315780000000075, 85.34252170000000604 27.73311229999999838, 85.34247799999999984 27.73313630000000174))",184562370,shelter,,,,,,,,,,
"Polygon ((85.34286960000000022 27.73299220000000176, 85.34291090000000679 27.73301130000000114, 85.34293940000000589 27.73296300000000159, 85.34289809999999932 27.73294389999999865, 85.34286960000000022 27.73299220000000176))",184562371,shelter,,,,,,,,,,
"Polygon ((85.42971760000000359 27.68233839999999901, 85.42977279999999496 27.68233740000000154, 85.42977009999999893 27.68222019999999972, 85.42971500000000162 27.68222120000000075, 85.42971760000000359 27.68233839999999901))",186261914,shelter,public_transport,yes,,,,,,,,
"Polygon ((85.30413090000000409 27.70216609999999946, 85.30419050000000425 27.70224490000000017, 85.30417889999999659 27.70225179999999909, 85.3041642999999965 27.70226040000000012, 85.30410480000000462 27.70218159999999941, 85.30413090000000409 27.70216609999999946))",198107938,shelter,,roof,,,yes,,,,,
"Polygon ((85.33381919999999354 27.71632669999999976, 85.33382829999999331 27.71634579999999914, 85.33388619999999491 27.71632569999999873, 85.33387369999999805 27.71630559999999832, 85.33381919999999354 27.71632669999999976))",199010409,shelter,,roof,,,yes,,,,,
"Polygon ((85.31662350000000572 27.67159459999999882, 85.31658129999999574 27.67134790000000066, 85.31680740000000185 27.67131759999999829, 85.31684500000000071 27.67156299999999902, 85.31662350000000572 27.67159459999999882))",203446375,shelter,,,Manbhawan Party Palace,,,,,,,
"Polygon ((85.42318849999999486 27.67542870000000121, 85.42318720000000098 27.67540010000000095, 85.4231127999999984 27.67540269999999936, 85.42311410000000649 27.67543129999999962, 85.42318849999999486 27.67542870000000121))",212706511,shelter,,,Haku-Phalcha,public,,bhaktapur,,,,1
"Polygon ((85.42633720000000608 27.66740749999999949, 85.42638530000000685 27.66745080000000101, 85.42641199999999913 27.6674275999999999, 85.42636389999999835 27.66738420000000076, 85.42633720000000608 27.66740749999999949))",240108183,shelter,,yes,Balakhe Pati,,,,,,1,
"Polygon ((85.4263523000000049 27.66962549999999865, 85.42637109999999723 27.66966509999999957, 85.42632589999999482 27.66968109999999825, 85.42627880000000573 27.66957629999999924, 85.42632460000000094 27.66956060000000051, 85.4263523000000049 27.66962549999999865))",240113228,shelter,,yes,,,,,,,,
"Polygon ((85.42636570000000518 27.66893209999999925, 85.42634560000000477 27.66889889999999852, 85.42637249999999938 27.66888349999999974, 85.42641799999999819 27.66888349999999974, 85.42642739999999435 27.66892259999999837, 85.42639259999999979 27.66892259999999837, 85.42636570000000518 27.66893209999999925))",240116665,shelter,,yes,Mangalache Youth Club,,,,,,,
"Polygon ((85.42475109999999461 27.668168399999999, 85.42473769999999433 27.6682194999999993, 85.42497640000000558 27.66827650000000105, 85.42498840000000371 27.66822420000000093, 85.42475109999999461 27.668168399999999))",240118864,shelter,,,,,,,,,,
"Polygon ((85.33568060000000344 27.71792429999999996, 85.33569810000000189 27.71792050000000174, 85.33569300000000624 27.71790220000000105, 85.33567549999999358 27.71790599999999927, 85.33568060000000344 27.71792429999999996))",248001884,shelter,,yes,,,,,,,,
"Polygon ((85.43728930000000332 27.67360370000000103, 85.43737369999999487 27.67359850000000066, 85.43736989999999309 27.67355029999999871, 85.43728539999999327 27.67355560000000025, 85.43728930000000332 27.67360370000000103))",296388423,shelter,,,,,,,,,,
"Polygon ((85.27857889999999941 27.67739230000000106, 85.27860549999999762 27.67740729999999871, 85.27863399999999672 27.67736790000000013, 85.27860739999999851 27.67735280000000131, 85.27857889999999941 27.67739230000000106))",323987253,shelter,,,,,,,,,,
"Polygon ((85.27659069999999986 27.67704679999999939, 85.27655579999999702 27.67704669999999822, 85.27655599999999936 27.6770031000000003, 85.27659099999999626 27.67700320000000147, 85.27659069999999986 27.67704679999999939))",323990785,shelter,,,Mu-Gah-chhen,,,,,,,
"Polygon ((85.2759917999999999 27.67929020000000051, 85.27598960000000261 27.67927429999999944, 85.2760301999999939 27.67926990000000131, 85.2760324000000054 27.67928579999999883, 85.2759917999999999 27.67929020000000051))",323992742,shelter,,,,,,,,,,
