A. SURVEY DETAILS,,,B. SITE/SETTLEMENT AREA DETAILS,,,,,,,,,,,,,,,,,,,,,,Site Management,,,,,,,,,,,,Place where most of the IDPs were living before the Earthquake?,,,,,,,,C. POPULATION DEMOGRAPHICS (BEST ESTIMATE NUMBER OF)         Estimated IDP Population on the Site,,,,,,,,,,,,,,D. PERSONS WITH SPECIAL VULNERABILITIES,,,,,E. MOBILITY,,,,,,,,F. SHELTER AND NON FOOD ITEM (NFI),,,,,,,,,,Needed NFI↓,,,"G. WATER, SANITATION AND HYGIENE (WASH)",,,,,,,,,,,,,,,,,,,,H. FOOD AND NUTRITION,,,,,,,,I. HEALTH,,,,,,,,,,,,,J. EDUCATION,,,,,,,,,,,,,,K. LIVELIHOOD,,,,,,,,,,,,,,,,,"L. PROTECTION OF CHILDREN, WOMEN, AND OTHER VULNERABLE PERSONS",,,,,,,,,,,,,,,M. WINTERIZATION,,,,,,,,,,,,,,,,,N. COMMUNICATION,,,,,
1.1.c.1 - Site ID,1.1.a.1 - Survey Date,1.1.a.2 - Survey Round,1.1.d.1 - Site Name,1.1.d.1 - Site Alternate Name,1.4.a.2 - Site Open?,1.4.a.1 - Site Open Date,1.4.c.1 - Site Close Date,0.1.a.7 - Location,1.1.e.2 - Site: Zone,1.1.e.3 - Site: District,1.1.e.4 - Site: VDC,1.1.e.5 - Site: Ward,1.1.f.1 -  GPS: Latitude,1.1.f.2 - GPS: Longitude,1.1.f.2 - GPS: Altitude,1.3.a.1 - Site Classification,1.3.b.2 - Site Type,1.3.b.2 - If Site Type: Other,1.1.m.1 - Site part of Open Programme,1.4.b.1 - Site Expected Closing Date,1.1.i.1 - Accessibility to Site,1.3.d.1 - Ownership of site land,1.3.c.1 - What is the most common type of shelter?,1.3.c.1 - If Other Shelter Types: Specify,1.2.b.1 - Is there Site Management Committee (SMC) at the site?2,1.2.b.10 - % of women participating in the SMC?,1.2.b.2 - Is the SMC made up from the community at the site?,1.2.b.7 - SMC Focal Point Name,1.2.b.8 - SMC Focal Point Phone,1.2.c.1 - Is there Site Management Agency (SMA) at the site?2,1.2.c.2 - Type of entity managing the site,"1.2.c.2 - If site management entity type is Other, specify",1.2.c.3 - SMA Name,1.2.c.4 - SMA Focal Point Name (if not the same as respondent),1.2.c.5 - SMA Focal Point Phone,1.2. a.1 - Is there any Registration/IDP list maintained?,1.5.b.2 - Zone (Largest IDP group) ,1.5.b.3 - District (Largest IDP group),1.5.b.4 - VDC/Mun (Largest IDP group),1.5.b.5 - Ward (Largest IDP group),1.5.c.2 - Zone (2nd largest IDP group),1.5.c.3 - District (2nd largest IDP group),1.5.c.4 - VDC/Mun (2nd largest IDP group),1.5.c.5 - Ward (2nd largest IDP group),2.1.a.1 - Number of Families / HHs,2.1.b.1 - Number of Individuals,2.1.c.1 - Number of Infants (<1) - M,2.1.c.2 - Number of Children (1-5 y) - M,2.1.c.3 - Number of Youth (6-17 y) - M,2.1.c.4 - Number of Adult (18-59 y) - M,2.1.c.5 - Number of Elderly (60+ y) - M,2.1.b.2 - Total Male,2.1.d.1 - Number of Infants (<1) - F,2.1.d.2 - Number of Children (1-5 y) - F,2.1.d.3 - Number of Youth (6-17 y) - F,2.1.d.4 - Number of Adult (18-59 y) - F,2.1.d.5 - Number of Elderly (60+ y) - F,2.1.b.3 - Total Female,2.2.c.2 - Pregnant Women #,2.2.d.1 - Breastfeeding Mothers #,2.2.g.1 - Persons w/ Disabilities #,2.2.x.3 - Elderly headed Households #,2.2.f.1 - Persons w/ Chronic Diseases/Serious Medical Conditions,2.3.k.1 - Distance of site from place of origin / habitual residence,2.3.c.2 - Date of arrival of last IDP group,2.3.b.4 - Have IDPs been displaced previously?,2.3.e.1 - Area of intended return for the largest IDP group,2.3.e.7 - What is preventing the largest IDP group of returning home?,"2.3.e.7 - If preventing reason is Other, specity",2.3.g.1 - Estimated % of IDPs sleeping in the site,2.3.f.1 - Is there relocation site planned for the IDPs?,3.7.k.2 - Did most people on site own or rent their house before the EQ?,3.1.a.1 - % of HH living outside (no shelter),3.1.j.1 - % of HH living indoors (solid walls),3.1.b.1 - % of HH living in tents,3.1.d.1 - % of HH living in temporary shelter (CGIs),3.1.c.1 - % of HH living in emergency makeshift shelter,3.1.k.1 - % of HH living in Other shelters (Open building),"3.1.k.1 - Other Shelter, specify",3.2.a.1 - % of HH have access to electricity,3.2.b.1 - % of HH have access to safe cooking facilities,3.7.j.1 - Most needed NFIs,3.7.j.2 - 2nd most needed NFIs,3.7.j.3 - 3rd most needed NFIs,"4.1.a.1 - Location of site's main water source (walking, one-way)",4.1.b.1 - Main non-drinking water source available,4.1.f.1 - Main drinking water source available,"4.1.k.1 - If water tracking, who?",4.3.f.1 - Is drinking water being treated before consumption?,4.2.a.1 - Average amount of water use/day/person,4.3.e.1 - What is the main problem with the water? (+ observation),4.4.j.1 - Condition of most of the latrines (Observation),4.4.a.1 - Number of functioning toilets on-site (Count) #,4.4.b.1 - Availability of segregated male and female toilets,4.4.a.3  - Latrines provided / installed or already on site,"4.4.a.3  - If provided, then by whom?",4.4.b.2 - Do toilets / bathrooms have light? (observation),4.4.b.3 - Do majority of people use toilets on or off site?,4.8.b.1 - Do toilets / bathrooms have locks from the inside? (Observation),4.5.b.1 - Availability of segregated bathing areas,4.6.a.1 - Main garbage / waste disposal method,4.4.n.1 - Evidence of open defecation? ,4.7.g.1 - Availability of handwashing station filled in with water and soap close to the toilets?,4.7.g.2 - Evidence of hand-washing practices?,"5.1.a.1 - Is there access to food (dist, vouchers, … )",5.1.e.1 - Is there access to a market near the site?,5.1.d.1 - Most common source for obtaining food,"5.1.d.1 - If the most common source for obtaining food is Other, Specify","5.1.d.1 - If distributed, Who? ",6.1.a.1 - Screening for malnutrition conducted in the area?,6.1.b.1 - Availability of suppl. feeding for pregnant & lactating mothers,6.1.c.1 - Availability of supplementary feeding for children,7.1.b.1 - What is the most prevalent health problem at the site?,7.1.b.2 - What is the 2nd most prevalent health problem at the site?,7.1.b.3 - What is the 3rd most prevalent health problem at the site?,7.2.t.1 - Cases of tuberculosis among IDPs living in this site?,7.3.a.1 - People with injury related disabilities before the EQ,7.3.a.2 - People with injury related disabilities after the EQ,7.2.t.2 - Total people with injury related disabilities,7.2.r.1 - Have you had access to immunization services / campaigns in the last 4 weeks?,7.2.s.1 - Have you access to psychosocial support activities in the last 4 weeks?,7.2.q.2 - Is there any psychosocial support provided on site?,7.2.b.1 - Distance to closest functioning Health Facilities / Services,"7.2.b.1 - If  closest functioning Health Facilities / Services is/are on site, who managing it?",7.2.c.2 - Who is the main provider of health facilities / services?,8.1.b.5 - Access to formal education for children from displaced HHs ,8.1.b.6 - Access to non-formal education for children from displaced HHs,8.2.b.2 - Distance to nearest formal education facility,"8.2.b.2 - If formal education facility provided on-site, by whom?",8.2.b.3 - Distance to nearest non-formal education facility,"8.2.b.3 - If non-formal education facility provided on-site, by whom?",8.3.a.2 - % of girls at the site attending school,8.3.a.3 - % of boys at the site attending school,8.3.b.2 - Most common reasons why girls are not attending schools (Reason 1) ,8.3.b.2 - Most common reasons why girls are not attending schools (Reason 2) ,"8.3.b.2 - If girls are working, where?",8.3.b.3 - Most common reasons why boys are not attending schools (Reason 1),8.3.b.3 - Most common reasons why boys are not attending schools (Reason 2),"8.3.b.3 - If boys are working, where?",9.1.a.1  - Occupation/trade of majority of displaced households before the earthquake,"9.1.a.1  - If occupation of the majority before the earthquake is Other, Specify",9.1.a.4 - Occupation/trade of majority of displaced households now,"9.1.a.4 - If occupation of the majority now is Other, Specify",9.2.h.1 - % of HH in the site with source of income,9.2.i.1 - Access to income generating activities,9.3.a.2 - Is there livestock on site?,9.4.a.4 - Is the community being approached with job opportunities as alternative source of income?,"9.4.a.3 - If yes, how is the job offered?","9.4.b.3 - If yes, to whom are the job opportunities mainly offered in your family?
family?",9.1.c.1 - Do IDPs have access to land for cultivation?,"11.3.b.1 - Do any recruiters come to the site for day labor, domestic work in the city or working abroad?","11.3.a.2 - If yes, to which city/ country?",11.3.b.2 - Income generating activities women are interested,"11.3.b.2 - If women are interested in other activities, specify",11.3.b.3 - Income generating activities men are interested,"11.3.b.3 - If men are interested in other activities, specify",10.1.a.2 - Security is provided on-site?,10.1.e.1 -  Security incidents are reported in the site?,10.1.b.1 - Who provides the main security in the site?,10.2.j.3 - Do you know who (or where) to report (or seek assistance) when you or your family face any abuse or exploitation in this area?,10.2.j.3 - If report is made then specify to Whom?,10.2.i.4 - Most reported problem in receiving support,10.1.f.1 - Do the majority of people have ID card or other documentation?,10.2.j.2 - Reporting / referral mechanism for GBV survivor,10.2.t.2 - Are women segregated during menstruation?,"10.2.t.2 - If women are segregated during menstruation, where do they go?",10.3.a.1 - Do men feel safe in the site?,"10.3.a.4 - If no, where do men feel unsafe?","10.3.a.4 - If no and men feel unsafe some where else, specify?","10.1.s.1 - Is there adequate lighting in the majority of communal point? (WASH facilities, public spaces…)",10.1.s.2 - Females have access to feminine hygiene products?,3.9.a.1 - Are any HHs at this site planning to move for the winter?,"3.9.a.2 - If yes, is this a practice that usually happens during winter?",3.9.a.3 - Will winter limit access from your site to any of the following? ,"3.9.a.3 - If winter limit access to other, specify",3.9.a.4 - Do you think that majority of shelters at your site are suitable for the winter?,"3.9.a.5 - If majority of shelter are not suitable, then Why?","3.9.a.5 - If majority of shelter are not suitable due to some other reason, specify",3.9.b.1 - 1st most needed winter item,"3.9.b.1 - 1st most needed winter item is other, specify",3.9.b.2 - 2nd most needed winter item,"3.9.b.2 - 2nd most needed winter item is other, specify",3.9.b.3 - 3rd most needed winter item,"3.9.b.3 - 3rd most needed winter item is other, specify",3.9.c.1 - Where families plan to cook during the winter?,3.9.c.2 - Plan to make any provision for livestock for winter?,"3.9.c.3 - If there is plan to make any provision, What?","3.9.c.3 - If there is Other plan to make any provision, specify",11.1.a.2 - Where do most female residents mostly get their information from?,11.1.a.3 - Where do most male residents mostly get their information from?,11.2.c.1 - Are complaints being reported?,11.2.c.2 - If reports are being reported then to whom?,11.1.c.1 - What is the main topic on which the community is requesting information on?,11.1.h.1 - Is everyone aware that donations do not need to be exchanged for anything?
21,25/08/2015,4,Padma High School,,Yes,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur munic,15,27.6721,85.4284,1335.649842,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Yes,Public/Government,Tent,,Yes,<50%,Yes,Rabin raya,9841472590,Yes,International NGO,,Salvation army,Ralph,9818439334,Yes,Bagmati,Bhaktapur,Bhaktapur munic,15,Bagmati,Bhaktapur,Bhaktapur munic,13,79,375,0,0,0,115,48,163,0,10,0,144,58,212,1,2,4,15,2,< 10 mins,12/05/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,< 75%,< 25%,None,None,,< 75%,None,Safer housing / Shelter material,CGIs,None,On-site (<20 minutes),Water truck,Water truck,Municipality,Filtered,>15 liters,None,Not so good (not hygienic),2,No,Already on site,,Yes,On-site,Yes,No,Municipal Collection,No,Yes,Yes,"Yes, Off-site",Yes,Own cash,,,No,No,No,Skin infections,TB,RTI,Some,0,0,0,Yes,Yes,Yes,off-site (< 30 mins),,Government,Yes,Yes,On site <20,Government,On site <20,SMC,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,60,No,No,No,,,Yes,No,,Weaving / knitting,,Store / small business,,No,No,,Yes,Police,None,Yes,No,No,,Yes,,,"Yes, there is lighting and it is adequate",No,No,,No limitation,,No,Does not protect from cold,,CGIs,,Winter clothes,,Mattress / Bed,,In homes nearby,No,,,Local leader,Radio / News,No,,Other relief assistance,Yes
25,27/08/2015,4,Bhaktapur Bahumukhi Campus,,Yes,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur municipality,17,27.67,85.4217,1330.468178,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,<2 months,Yes,Public/Government,Tent,,Yes,<25%,Yes,Laxmi bahadur bati,9803365950,No,,,,,,Yes,Bagmati,Bhaktapur,Bhaktapur municipality,17,Bagmati,Bhaktapur,Bhaktapur municipality,15,65,343,1,18,14,97,17,147,2,16,32,119,27,196,0,3,3,3,2,< 10 mins,23/08/2015,No,Place of origin,House damaged/destroyed,,< 75%,No,Own,None,None,more than 75%,None,None,None,,< 25%,< 25%,CGIs,Blankets,Tarpaulin,Off-site (<20 minutes),Friends / relatives / nearby community,Water truck,Municipality,No treatment,<5 liters,None,No latrines,,,,,,Off-site,,No,Municipal Collection,No,None,No,"Yes, On-Site",Yes,Food distribution,,,No,No,No,Diarrhea,None,None,None,0,0,0,No,No,No,off-site (< 30 mins),,Government,Yes,No,On site <20,Government,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Daily Wage laborer,,25,Yes,Yes,No,,,Yes,No,,Art / Craft,,Store / small business,,No,No,,Yes,Police,None,Yes,No,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,The shelter has holes and cracks,,Foam mat (floor),,Blanket,,Mattress / Bed,,In shelter where people sleep,No,,,Mobile Phone,Mobile Phone,No,,Recovery plans,Yes
26,26/08/2015,4,Bhelukhel,,Yes,25/04/2015,,Urban,Bagmati,Bhaktapur,Bkt munic,11,27.6688,85.43015,1313.703975,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,Unknown,Yes,Public/Government,Makeshift,,Yes,<25%,Yes,Yusub deula,9841495167,No,,,,,,Yes,Bagmati,Bhaktapur,Bkt munic,11,Bagmati,Bhaktapur,Bkt munic,12,197,1259,2,50,107,301,38,498,3,60,285,370,43,761,5,5,2,0,1,< 10 mins,25/04/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,< 25%,None,more than 75%,None,,< 75%,None,CGIs,Tools,Safer housing / Shelter material,Off-site (<20 minutes),None,Water truck,Municipality,Chlorinated,5-10 liters,None,Not so good (not hygienic),2,No,Provided,Unknown,No,On-site,No,No,Municipal Collection,No,Unknown,Yes,"Yes, Off-site",Yes,Own cash,,,No,No,No,RTI,None,None,None,0,0,0,Yes,No,No,off-site (< 30 mins),,Government,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Employed,,Employed,,70,No,No,No,,,No,No,,Weaving / knitting,,Store / small business,,Yes,No,Police,Yes,Police,None,No,No,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Mattress / Bed,,CGIs,,In the open,No,,,Families & friends,Radio / News,No,,Other relief assistance,Yes
32,26/08/2015,4,Maheshwori Football Ground,,Yes,25/04/2015,,Peri-Urban,Bagmati,Bhaktapur,Bhaktapur Municipality,6,27.6699,85.4361,1309.741526,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Yes,Private,Tent,,Yes,Unknown,Yes,Unish khyaju,984358514,No,,,,,,Unknown,Bagmati,Bhaktapur,,6,Bagmati,Bhaktapur,Bkt,2,180,1176,0,36,192,300,36,564,0,48,72,444,48,612,0,15,2,2,0,< 10 mins,25/04/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,more than 75%,None,None,None,,more than 75%,None,Blankets,CGIs,None,On-site (<20 minutes),Spring,Water truck,Municipality,Filtered,<5 liters,Odor/smell,Not so good (not hygienic),3,No,Provided,District Committee / Authority / Municipality,No,On-site,No,No,Municipal Collection,Yes,Yes,Yes,"Yes, On-Site",Yes,Food distribution,,,No,No,No,None,None,None,None,3,0,3,No,No,Yes,Off-site (< 30 mins),,Government,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,100,No,No,No,,,Yes,No,,Weaving / knitting,,Agriculture,,Yes,No,Police,No,,Not enough assistance for all entitled,Yes,No,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,Don't know,,,Blanket,,Winter clothes,,Tools,,In the open,Don't know,,,Local leader,Local leader,No,,Access to services ,No
34,26/08/2015,4,Suryamadi,,Yes,25/04/2015,,Urban,Bagmati,Bhaktapur,Bit munic,2,27.6734,85.4375,1333.821019,Spontaneous,"Collective Centre  (schools, offices, religious, hospital, other)",,Yes,Unknown,Yes,Private,Temporary shelter,,Yes,<25%,Yes,Same as respondent,Same as respondent,No,,,,,,Yes,Bagmati,Bhaktapur,Bkt munic,2,Bagmati,Bhaktapur,Bkt munic,2,67,335,4,16,32,113,22,187,0,0,22,110,16,148,0,19,0,10,0,< 10 mins,25/05/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,None,more than 75%,None,None,,< 75%,None,CGIs,Electricity / Solar system,None,Off-site (<20 minutes),Piped water (taps),Piped water (taps),,Filtered,10-15 liters,None,No latrines,,,,,,Off-site,,No,Municipal Collection,No,Unknown,Yes,"Yes, On-Site",Yes,Own cash,,,No,Yes,No,RTI,None,None,None,0,0,0,Yes,No,No,Off-site (< 30 mins),,INGO,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,75,No,No,No,,,Yes,No,,Weaving / knitting,,Art / Craft,,Yes,No,Community leaders,Yes,Police,None,Yes,No,No,,No,Latrine,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Heater,,Mattress / Bed,,In the open,No,,,Radio / News,Radio / News,No,,Other relief assistance,Yes
38,25/08/2015,4,Saraswati Vidyagriha,,Yes,25/04/2015,,Urban,Bagmati,Bhaktapur,Bhaktapur,4,27.6756,85.4368,1334.73543,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Yes,Public/Government,Tent,,Yes,<25%,Yes,Shyam krishna shahi,9841446251,No,,,,,,Yes,Bagmati,Bhaktapur,Bhaktapur,4,Bagmati,Sindhupalchok,,,111,527,5,7,91,153,15,271,7,8,15,165,61,256,1,12,1,0,1,< 10 mins,12/05/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,more than 75%,None,None,None,,< 75%,< 25%,CGIs,Blankets,None,Off-site (<20 minutes),Piped water (taps),Piped water (taps),,Chlorinated,10-15 liters,None,Not so good (not hygienic),11,"Yes, separate entrance/HWS",Provided,Unknown,Yes,On-site,Yes,No,Municipal Collection,No,None,Yes,"Yes, Off-site",Yes,Own cash,,,Yes,Yes,Yes,None,None,None,Some,0,0,0,Yes,No,No,off-site (< 30 mins),,INGO,Yes,Yes,Off site <20,,On site <20,SMC,>75%,>75%,Fees or costs,None,,Fees or costs,None,,Agriculture/Livestock,,Daily Wage laborer,,50,No,No,No,,,Yes,No,,Art / Craft,,Driving,,No,No,,Yes,Police,None,Yes,Yes,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Mattress / Bed,,Nothing,,In the open,No,,,Families & friends,Radio / News,No,,Work opportunities,Yes
118,25/08/2015,4,Chapagaon,,Yes,25/04/2015,,Peri-Urban,Bagmati,Lalitpur,Lalitpur municipality,2,27.60583,85.32528,1467.93465,Spontaneous,Other,Agricultural land,Yes,Unknown,Yes,Unknown,Makeshift,,No,,,,,No,,,,,,No,Bagmati,Lalitpur,Lalitpur municipality,2,Bagmati,Lalitpur,,1,50,311,2,6,18,172,8,206,2,2,19,76,6,105,6,6,0,3,25,< 10 mins,25/04/2015,Unknown,Place of origin,House damaged/destroyed,,< 75%,No,Own,None,None,None,None,more than 75%,None,,< 75%,< 50%,CGIs,Tools,Blankets,On-site (<20 minutes),Piped water (taps),Piped water (taps),,No treatment,10-15 liters,None,Good (Hygienic),4,"Yes, separate entrance/HWS",Provided,Self made,No,Off-site,No,No,Garbage pit,No,None,Yes,"Yes, On-Site",Yes,Own cash,,,No,Yes,Yes,Common cold,Skin infections,Rheumatism,None,0,9,9,No,Yes,Yes,Off-site (1 - 2 hours),,Local Clinic/med practitioners,Yes,No,On site >20,Schools,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,No,No,,,Yes,No,,Agriculture,,Agriculture,,No,No,,Yes,Police,None,Yes,No,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Unknown,No,,No limitation,,No,Does not protect from cold,,CGIs,,Tools,,Blanket,,In shelter where people sleep,No,,,Radio / News,Radio / News,No,,Access to services ,Yes
122,25/08/2015,4,Lower Gamcha,,Yes,25/04/2015,,Peri-Urban,Bagmati,Kathmandu,Kirtipur gamcha,7,27.6714,85.26553,1372.53109,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Yes,Private,Temporary shelter,,No,,,,,No,,,,,,No,Bagmati,Kathmandu,Kirtipur Gamcha,7,,,,,36,172,0,7,14,58,7,86,2,2,15,62,5,86,2,2,0,0,0,< 10 mins,25/04/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,None,None,< 75%,None,,< 75%,< 75%,Blankets,Cooking gas,Tools,Off-site (<20 minutes),Unprotected Well,Piped water (taps),,No treatment,>15 liters,Suspended solids,Not so good (not hygienic),15,No,Already on site,,Yes,On-site,Yes,No,Garbage pit,Yes,None,Yes,No,Yes,Own cultivated,,,No,No,No,Diarrhea,Skin infections,Rheumatism,None,0,0,0,No,No,No,None,,None,Yes,No,Off site <20,,,,>75%,>75%,Fees or costs,Distance to school,,Fees or costs,Distance to school,,Agriculture/Livestock,,Agriculture/Livestock,,100,Yes,Yes,No,,,Yes,No,,Weaving / knitting,,Art / Craft,,No,No,,Yes,Police,None,Yes,No,Yes,Within their house,Yes,,,"Yes, there is lighting but it is NOT adequate",No,No,,School,,No,Does not protect from cold,,Foam mat (floor),,Blanket,,Tools,,In shelter separate for cooking,Yes,Improve animal shelter,,Local leader,Social Media,Unknown,,Distribution,Yes
151,22/08/2015,4,Tudikhel,,Yes,25/04/2015,,Urban,Bagmati,Sindhupalchok,C-BAG-23-014 sindhupalchok,3,27.77779,85.71223,1464.277006,Spontaneous,"Open ground (park, playground, sports ground, other)",,Yes,Unknown,Yes,Public/Government,Tent,,Yes,<50%,Yes,,,Yes,International NGO,,IOM,Theo Sinkovits,9824131535,No,Bagmati,Sindhupalchok,C-BAG-23-014 sindhupalchok,3,Bagmati,Sindhupalchok,C-BAG-23-014 sindhupalchok,42042,48,271,2,7,22,77,12,120,2,5,26,108,10,151,4,3,4,5,10,< 10 mins,20/07/2015,No,Place of Habitual residence,House damaged/destroyed,,> 75%,No,Rent,None,None,more than 75%,None,None,None,,None,< 25%,Safer housing / Shelter material,Kitchen sets,Blankets,On-site (<20 minutes),Surface water,Water truck,IFRC,No treatment,10-15 liters,None,Good (Hygienic),18,"Yes, separate entrance/HWS",Provided,IFRC,No,On-site,Yes,No,Collected by IFRC,No,Yes,Yes,"Yes, Off-site",Yes,Own cash,,,No,Unknown,Yes,Diarrhea,Headache,Common cold,None,1,0,1,Yes,No,No,On-site,Chautara hospital,Government,Yes,Yes,Off site >20,,On site <20,Save the children,>75%,>75%,,,,,,,Trade,,Trade,,60,Yes,No,No,,,No,No,,Store / small business,,Store / small business,,Yes,No,Police,Yes,Police,Lack of Documentation,No,Unknown,No,,Yes,,,"Yes, there is lighting but it is NOT adequate",Yes,No,,No limitation,,No,Does not protect from cold,,Blanket,,Heater,,Winter clothes,,In shelter where people sleep,No,,,Radio / News,Radio / News,No,,Shelter,Yes
152,27/08/2015,4,Lamoshangu,,Yes,25/04/2015,,Urban,Bagmati,Sindhupalchok,C-BAG-23-046 sindhupalchok,1,27.75619,85.85563,776.0302365,Spontaneous,"Open ground (park, playground, sports ground, other)",,No,Unknown,Yes,Public/Government,Makeshift,,No,,,,,No,,,,,,No,Bagmati,Sindhupalchok,C-BAG-23-046 sindhupalchok,1,,,,,130,618,0,0,75,209,37,321,0,0,67,193,37,297,6,20,15,18,50,< 10 mins,03/09/2015,No,Place of origin,House damaged/destroyed,,> 75%,No,Own,None,None,< 25%,< 25%,< 50%,None,,< 75%,< 50%,CGIs,Tools,Electricity / Solar system,Off-site (<20 minutes),Spring,Spring,,No treatment,10-15 liters,Suspended solids,Not so good (not hygienic),15,No,Provided,Self made,No,On-site,Yes,No,Throw in the river,No,Yes,Yes,"Yes, On-Site",Yes,Own cash,,,No,No,Yes,Diarrhea,Skin infections,Common cold,None,30,1,31,No,No,No,On-site,Dhulikhel hospital,INGO,Yes,Yes,Off site >20,,On site <20,Save the children,>75%,>75%,,,,,,,Agriculture/Livestock,,Agriculture/Livestock,,16,No,Yes,No,,,No,No,,Art / Craft,,Store / small business,,No,No,,Yes,Police,Fighting between recipients at distribution points,Yes,Yes,No,,Yes,,,No lighting,No,No,,School,,No,Does not protect from rain,,Blanket,,Winter clothes,,Heater,,In shelter where people sleep,No,,,Families & friends,Families & friends,No,,Situation in areas of origin,No
