#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	31.719436666666663	5.7966	40.1525	170.0
3.0	1.0	32.482643333333336	6.843	1577.0331	168.0
4.0	0.9945	30.062486666666665	6.9945	1602.1934	166.0
5.0	0.9877	27.707986666666667	6.6833	1729.1083	164.0
6.0	0.9705	25.49654333333333	6.7736	1792.2432	162.0
7.0	0.9673	24.64763333333333	6.9099	1859.6592	160.0
8.0	0.9441	23.869596666666666	6.7383	1805.8815	158.0
9.0	0.9429	22.989443333333334	6.7771	1812.9805	152.0
10.0	0.9417	22.206983333333334	6.6983	1896.5455	97.0
11.0	0.9049	21.54194	6.6286	1873.692	45.0
12.0	0.8463	21.067483333333332	6.6349	1850.6543	40.0
