#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	1.7622033333333333	7.4068	168.9831	170.0
3.0	0.6529	5.1391133333333325	8.1392	2014.2278	130.0
4.0	0.6484	7.134916666666667	8.4661	1481.5763	107.0
5.0	0.5885	4.619906666666666	7.6923	1247.5524	88.0
6.0	0.5115	5.24923	7.5833	1170.2372	72.0
7.0	0.485	5.566216666666667	7.4775	1048.7978	61.0
8.0	0.4009	7.24436	7.5407	1049.2558	52.0
9.0	0.3816	5.973013333333333	7.1337	1015.3155	48.0
10.0	0.3406	6.649196666666667	7.4813	983.9786	42.0
11.0	0.2951	7.91524	7.4278	1003.8722	41.0
12.0	0.2716	6.386756666666667	7.4615	979.8681	41.0
