#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	1.0	8.71152666667	8.0847	265.4576	264.0
3	0.8017	16.6275266667	9.4227	2134.8969	251.0
4	0.7912	18.6223366667	10.6181	1923.4444	245.0
5	0.7202	15.97617	10.2114	2148.6114	228.0
6	0.6754	16.1583166667	10.4806	1977.1748	212.0
7	0.6676	15.4403133333	10.4612	2009.4776	195.0
8	0.6457	15.1770166667	10.704	1746.0036	170.0
9	0.6163	15.2618333333	10.3079	1723.3344	117.0
10	0.5865	15.9728766667	10.2081	1650.5031	78.0
11	0.5246	14.4561466667	10.5375	1538.7938	46.0
12	0.4731	15.36532	10.3691	1632.6593	46.0
