#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9661	10.81468	11.4737	261.3509	264.0
3	0.7769	16.74383	12.0745	2074.1064	210.0
4	0.6264	16.1335966667	12.8596	2024.7632	154.0
5	0.5473	21.13406	12.3383	1721.3459	133.0
6	0.4393	20.7872133333	12.3209	1677.2015	113.0
7	0.3924	25.2800933333	11.8472	1583.9444	101.0
8	0.3427	23.9575066667	12.102	1551.9524	79.0
9	0.3082	25.7507933333	12.1523	1510.6623	63.0
10	0.2878	27.4954233333	12.2468	1532.2405	51.0
11	0.2656	28.0665033333	12.2407	1480.8827	46.0
12	0.2269	25.4367533333	12.0789	1524.6447	46.0
