#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9661	11.16082	12.4912	257.6667	264.0
3	0.8099	19.48296	12.5204	1783.9898	257.0
4	0.6429	17.38715	12.5726	1894.8803	247.0
5	0.6914	29.92498	12.2798	1389.7917	242.0
6	0.6131	28.5955433333	12.4385	1373.5508	234.0
7	0.6294	33.5763633333	11.9697	1020.0173	214.0
8	0.6107	34.58448	11.9656	970.1031	166.0
9	0.5714	38.2957966667	11.8071	892.9679	106.0
10	0.5319	39.8972933333	11.8904	865.2192	54.0
11	0.5131	39.6840466667	11.6805	848.6358	46.0
12	0.4552	39.5706233333	11.7672	819.3377	46.0
