#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	13.840623333333333	10.2917	249.5208	308.0
3.0	0.7273	20.259243333333334	11.2273	903.1591	293.0
4.0	0.6868	20.093306666666667	11.72	976.048	257.0
5.0	0.6584	19.099249999999998	10.6875	824.225	233.0
6.0	0.5934	18.112836666666666	10.6685	791.7459	187.0
7.0	0.5504	17.197176666666667	10.9703	735.901	143.0
8.0	0.4779	17.036113333333333	10.8634	687.6976	117.0
9.0	0.4265	16.26019	10.7033	729.3254	87.0
10.0	0.4026	17.7557	10.8824	699.7059	61.0
11.0	0.3541	17.127886666666665	10.9213	680.7685	50.0
12.0	0.3194	17.43800666666667	10.6121	759.5981	50.0
