#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	1.0	8.71152666667	8.1356	256.1864	264.0
3	0.7603	17.0382233333	9.25	1955.8587	251.0
4	0.7418	17.4200733333	10.6963	1715.5926	246.0
5	0.6955	16.2470033333	10.355	1707.6509	236.0
6	0.6459	13.2011666667	10.3198	1744.1827	218.0
7	0.6349	13.77482	10.6223	1792.0172	198.0
8	0.6177	12.5575833333	10.4604	1581.9925	172.0
9	0.5918	11.8406766667	10.3034	1360.8414	121.0
10	0.5428	10.7123166667	10.1477	1398.9262	84.0
11	0.5066	10.9882833333	10.0971	1331.5275	47.0
12	0.4552	10.30163	9.9967	1257.6721	46.0
