#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9661	10.1636266667	9.4211	249.9298	264.0
3	0.7107	13.7552333333	10.9651	1974.2326	236.0
4	0.6648	13.7659766667	11.7025	1882.686	182.0
5	0.6214	11.50839	11.5298	1478.6225	158.0
6	0.4951	12.8198666667	12.0066	1528.649	127.0
7	0.5014	9.99867666667	11.1033	1249.2663	116.0
8	0.3986	9.55655	11.1579	1232.3041	92.0
9	0.3367	10.7357366667	11.6848	1396.8667	77.0
10	0.3024	9.30915666667	11.2169	1343.8012	57.0
11	0.282	11.3833333333	11.6686	1395.3779	46.0
12	0.2448	10.8244933333	11.6402	1335.0976	46.0
