#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	1.0	8.34621333333	9.5424	266.0	264.0
3	0.6281	9.56649	10.0263	1913.5	216.0
4	0.6703	9.65817	11.7049	1566.6148	136.0
5	0.5761	8.27147666667	11.7071	1389.8643	113.0
6	0.5148	8.83146333333	12.1019	1291.8854	98.0
7	0.4714	8.83786	12.1387	1151.6821	82.0
8	0.4476	6.81894	12.1094	1033.8802	63.0
9	0.4122	9.16018	12.203	988.5842	51.0
10	0.357	7.33629333333	12.2143	1020.5714	48.0
11	0.3098	8.43569666667	12.4286	1088.2169	46.0
12	0.3015	9.16018	12.203	988.5941	46.0
