#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9661	10.1636266667	9.4211	249.9298	264.0
3	0.6612	13.5430833333	10.4875	1741.8875	248.0
4	0.6813	12.8995433333	11.3952	1502.0726	210.0
5	0.6214	11.74872	11.4371	1629.9669	170.0
6	0.5574	9.98058666667	11.8176	1309.5529	158.0
7	0.4932	9.76696	11.8122	1246.6575	127.0
8	0.4126	10.4987366667	11.5198	1301.5819	102.0
9	0.3571	10.1741333333	11.4857	1344.48	76.0
10	0.326	9.22357666667	11.5475	1178.5084	57.0
11	0.282	11.1564933333	11.5698	1481.9826	46.0
12	0.2448	10.7561366667	11.6463	1479.0	46.0
