#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9492	10.5085133333	9.5357	244.9464	264.0
3	0.7438	16.7090733333	10.8667	1652.5667	251.0
4	0.6374	14.6002	10.6379	1441.6379	245.0
5	0.6049	10.93068	10.3333	1093.2245	240.0
6	0.5967	10.44196	10.5549	1062.6593	231.0
7	0.5722	8.91958666667	10.2524	874.019	219.0
8	0.5175	8.68507666667	10.5676	908.8919	194.0
9	0.4857	7.82658333333	10.3109	869.2605	140.0
10	0.4499	7.31591	10.2024	790.1174	82.0
11	0.4098	8.51978666667	9.952	879.04	47.0
12	0.3642	8.02627	10.332	826.8238	46.0
