wkt_geom,id,source,name,public_transport,highway,place,amenity,name:en,wikidata,barrier,wikipedia,bus,addr:city,addr:street,name:ne,description,history,addr:postcode,operator,smoking,alt_name,historic,is_in,opening_hours,shop,foot,tourism,bicycle,cuisine,horse,motorcar,motorcycle,office,phone,power,website,addr:housenumber,building,capital,crossing,generator:method,generator:output:electricity,generator:source,generator:type,internet_access,name:hi,name:ja,name:ko,name:new,religion,addr:country,building:levels,capacity,designation,fixme,int_name,name:bg,name:cs,name:es,name:fr,name:kn,name:pl,name:ru,name:zh,natural,note,outdoor_seating,payment:cash,population,takeaway,access,admin_level,alt_name:ne,amenity_1,artwork_type,atm,banquet,capital_ISO3166-1,delivery,denomination,dispensing,ele,email,facilities,fax,internet_access:fee,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,junction,kerb,level,motor_vehicle,name:af,name:am,name:an,name:ar,name:az,name:bat-smg,name:be,name:be-tarask,name:bh,name:bn,name:bo,name:bs,name:ca,name:ckb,name:da,name:de,name:el,name:eo,name:et,name:eu,name:fa,name:fy,name:gl,name:gu,name:he,name:hr,name:hsb,name:ht,name:hu,name:hy,name:io,name:is,name:it,name:ka,name:kk,name:lb,name:lij,name:lt,name:lv,name:mk,name:ml,name:mn,name:mr,name:nl,name:nn,name:no,name:nov,name:oc,name:os,name:pnb,name:pt,name:sa,name:sh,name:si,name:sk,name:sl,name:sr,name:sv,name:ta,name:tg,name:th,name:tr,name:ug,name:uk,name:ur,name:vi,name:vo,name:zh-yue,name_1,nat_name,network,official_name,oid,phone_1,ref,rooms,service 1,service 2,service 3,service 4,service 5,service 6,service 7,service 8
Point (85.35410050000000126 27.71933609999999959),31019074,,Hyatt Regency,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.35369719999999916 27.70070139999999981),31147572,,Airport Bus Station,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.32675940000000026 27.70533299999999954),31148719,,Dillibazaar stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charkhal,चारखाल,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.35275380000000212 27.69577779999999834),31150618,,KMC stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.34847519999999577 27.69841130000000007),31150627,,Sinamangal,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.34027059999999665 27.70150110000000154),31150643,,Old Baneshwor,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.35507029999999418 27.69525120000000129),31150664,,Sinamangal/Ring Road Stop सिनामंगल,stop_position,,,,Sinamangal/Ring Road Stop,,,,,,,सिनामंगल,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.34648380000000145 27.71675630000000012),31151483,,Chabahil,stop_position,,,,,,,,,,,चाबाहील,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.3208828000000068 27.73559489999999883),31152086,,Samakhusi Stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point (85.3495415999999949 27.67870639999999938),31228768,,Koteshwor Stop,stop_position,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
